,title,company,link,job_desc,job_func,location,job_type,source
17,Data Analyst,"LENA - Lately, Everything Needs Analytics",https://www.kalibrr.com/c/twelve-baskets-analytics/jobs/251119/data-analyst-2,"As a Data Analyst, you are responsible for deriving insights and action points from data for specific business use cases or contexts. Tasks may include:	Univariate Statistical Analysis	Exploratory Data Analysis	Data Visualization and Storytelling	Statistical Modeling	Regression Analysis	Domain-related Analysis, i.e., Geospatial Analysis, Text Analysis, Timeseries Analysis, Market Basket Analysis, Etc.As a Data Analyst, you are responsible for deriving insights and action points from data for specific business use cases or contexts. Tasks may include:	Univariate Statistical Analysis	Exploratory Data Analysis	Data Visualization and Storytelling	Statistical Modeling	Regression Analysis	Domain-related Analysis, i.e., Geospatial Analysis, Text Analysis, Timeseries Analysis, Market Basket Analysis, Etc.	Bachelor’s degree in any of the related courses: Computer Science, Statistics, Mathematics, Physics, Business, Industrial Engineering, Operations Research	Experience or familiarity in Python, Github, Databases (e.g. Postgres, Redis, MongoDB, etc.)	Ability to do Statistical Analysis and Modeling	Familiarity in Exploratory Data Analysis	Familiarity with Data Storytelling	Bachelor’s degree in any of the related courses: Computer Science, Statistics, Mathematics, Physics, Business, Industrial Engineering, Operations Research	Experience or familiarity in Python, Github, Databases (e.g. Postgres, Redis, MongoDB, etc.)	Ability to do Statistical Analysis and Modeling	Familiarity in Exploratory Data Analysis	Familiarity with Data StorytellingHire NowSign UpLogin",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
18,Data Engineer,YONDU INC.,https://www.kalibrr.com/c/yondu-inc/jobs/253582/data-engineer,"General Responsibilities	 The Data Engineer will focus on using various methods to design and implement an overall data infrastructure that will support current and future business needs. The data engineer is also tasked in creating data pipelines that transform raw data for analytical and operational processes.Duties and Responsibilities:   	Design and build scalable big data infrastructure and solutions, leveraging available cloud resources	Design, create and maintain ETL processes and data pipelines for functions such as but not limited to reporting and machine learning	Collaborate with different cross functional teams to determine and satisfy business data requirements taking into account various technology stacks	Optimize and automate existing current business processes and procedures	Create and present ad hoc reports to key stakeholdersGeneral Responsibilities	 The Data Engineer will focus on using various methods to design and implement an overall data infrastructure that will support current and future business needs. The data engineer is also tasked in creating data pipelines that transform raw data for analytical and operational processes.Duties and Responsibilities:   	Design and build scalable big data infrastructure and solutions, leveraging available cloud resources	Design, create and maintain ETL processes and data pipelines for functions such as but not limited to reporting and machine learning	Collaborate with different cross functional teams to determine and satisfy business data requirements taking into account various technology stacks	Optimize and automate existing current business processes and procedures	Create and present ad hoc reports to key stakeholdersJob Specifications: 	Education –    At least graduate with a Bachelor’s or Master's Degree in IT, Computer Science, Engineering, or any related course.	Related Work Experience			Proficiency in Python.		Proficiency in data manipulation tools: Any of pandas, dplyr, spark.		Experience with Extract, Transform, and Load (ETL processes)		Experience in SQL and noSQL query languages		Experience with any big data storage and processing solutions (SQL variants, MongoDB, Spark, Hive, Snowflake, Redshift, etc.)		Experience with any cloud service or server-based data processing		Hire NowSign UpLogin",Information Technology,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr
19,Data Analyst,Peroptyx,https://www.kalibrr.com/c/peroptyx/jobs/248693/data-analyst,"At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.As part of this fully remote role, you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.So, whether you are a student looking to earn as you learn, a retiree looking for a new challenge a part-time/full time professional or a work from home parent, Peroptyx has the right role for you! Benefits	Work up to 20 hours per week.	Earn a competitive rate of pay.	Avoid the long commute.	Work from the comfort of your home office.	Enjoy the flexibility of setting your own working hours!At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe.As part of this fully remote role, you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences.With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.So, whether you are a student looking to earn as you learn, a retiree looking for a new challenge a part-time/full time professional or a work from home parent, Peroptyx has the right role for you! Benefits	Work up to 20 hours per week.	Earn a competitive rate of pay.	Avoid the long commute.	Work from the comfort of your home office.	Enjoy the flexibility of setting your own working hours!Ideal Candidate	Fluent in English.	Excellent research skills.	Excellent local knowledge of The Philippines.	Good understanding and general knowledge of the geography and culture of The Philippines.	Analytical mindset.Job Requirements	Must be living in The Philippines for a minimum of 5 consecutive years.	Must pass an online open-book exam that can verify your full understanding of the material and concepts.	Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.	Good working knowledge of search engines, map applications and familiarity with social media platforms.	Strong ability to learn, understand and apply multiple sets of different instructions.	All work must be of an independent nature.Ideal Candidate	Fluent in English.	Excellent research skills.	Excellent local knowledge of The Philippines.	Good understanding and general knowledge of the geography and culture of The Philippines.	Analytical mindset.Job Requirements	Must be living in The Philippines for a minimum of 5 consecutive years.	Must pass an online open-book exam that can verify your full understanding of the material and concepts.	Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability.	Good working knowledge of search engines, map applications and familiarity with social media platforms.	Strong ability to learn, understand and apply multiple sets of different instructions.	All work must be of an independent nature.Hire NowSign UpLogin",Administration and Coordination,"Quezon City, National Capital Region (NCR)",Contract/Temporary,Kalibrr
20,Data Scientist,"LENA - Lately, Everything Needs Analytics",https://www.kalibrr.com/c/twelve-baskets-analytics/jobs/229042/data-scientist,"We are looking for bright and talented Data Scientists to join our dynamic team here at LENA.As a Data Scientist, you are responsible for managing data-related development pipelines. You will design and develop data science projects, review data-related code, and research on data packages.Specifically, you may be tasked to perform the following:	Designing data solutions with clients;	Researching and understanding packages and technologies related to data science;	Developing data solutions for internal or client use; and	Managing data solutions development and improvement. As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. You will have the opportunity to bring your skills to the next level and acquire new ones along the way.We are looking for bright and talented Data Scientists to join our dynamic team here at LENA.As a Data Scientist, you are responsible for managing data-related development pipelines. You will design and develop data science projects, review data-related code, and research on data packages.Specifically, you may be tasked to perform the following:	Designing data solutions with clients;	Researching and understanding packages and technologies related to data science;	Developing data solutions for internal or client use; and	Managing data solutions development and improvement. As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. You will have the opportunity to bring your skills to the next level and acquire new ones along the way.	Minimum of 2 years experience as a data scientist, machine learning engineer, researcher, or relevant roles; or with significant academic experience in data science or related fields	Strong problem-solving skills with an emphasis on model development	Deep knowledge on data wrangling, feature engineering, machine learning techniques, and statistical concepts	Good analytics capabilities	Advanced level of Python programming	Experience on code review and management	Minimum of 2 years experience as a data scientist, machine learning engineer, researcher, or relevant roles; or with significant academic experience in data science or related fields	Strong problem-solving skills with an emphasis on model development	Deep knowledge on data wrangling, feature engineering, machine learning techniques, and statistical concepts	Good analytics capabilities	Advanced level of Python programming	Experience on code review and managementHire NowSign UpLogin",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
21,Data Analyst,"Blue Spark Solutions, Inc.",https://www.kalibrr.com/c/bluesparkph/jobs/250123/data-analyst-2,"Do•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and MalasakitDo•Translate business requirements to usable Excel dashboards and visualizations•Design and execute efficient ETL process and data model that will allow for easy integration of builds like additional calculations and visualization•Design charts and tools that will enable richer insight•Create topline analysis on assigned workstreamsDisplay•Intellectual horsepower•Structured &amp; logical thinking (simplifying the complex)•Strong project management skills•Creative thinking•Effective communication•Proactiveness•Good storytellingDeliver•On-time delivery of dashboards, reports, analysis•100% accuracy on key category context reports / outputsBe a model of our three core values: Excellence, Integrity, and Malasakit3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detail3-4 years experience, with experience in research agencies a plus•Degree in business, marketing, data analytics, statistics, or closely related fields.•Relevant data management and/or business reporting experience in FMCG sector•Proficiency in creating dashboards in Excel and/or PowerBI•Proficiency in data analysis &amp; visualization tools and programming languages such as SQL, Python, and Power Query•Knowledge of machine learning &amp; predictive analytics•Experience in preparing reports or topline analysis•Strong problem-solving skills and attention to detailHire NowSign UpLogin",Management,"Taguig City, National Capital Region (NCR)",Full-time,Kalibrr
22,Data Engineer,"Gardenia Bakeries Phils., Inc.",https://www.kalibrr.com/c/gardenia/jobs/253220/data-engineer-3,"Responsibilities:		Develop and implement a comprehensive data strategy that aligns with the organization’s objectives and business goals.	Design, develop, and maintain data models to ensure data accuracy, consistency, and efficiency.	Oversee the selection, deployment, and management of database and data storage solutions.	Establish data integration processes to facilitate seamless data flow between systems, applications, and databases.	Define and enforce data governance policies, including data security, privacy, and compliance standards.	Create and maintain comprehensive data documentation, including data dictionaries, data lineage, and metadata.	Optimize data systems for performance, scalability, and reliability.	Collaborate with cross-functional teams to identify and address their data needs, providing tailored solutions.	Stay updated with emerging data technologies and evaluate their relevance and potential adoption for the organization.	Provide guidance and mentorship to data professionals within the team.		Responsibilities:		Develop and implement a comprehensive data strategy that aligns with the organization’s objectives and business goals.	Design, develop, and maintain data models to ensure data accuracy, consistency, and efficiency.	Oversee the selection, deployment, and management of database and data storage solutions.	Establish data integration processes to facilitate seamless data flow between systems, applications, and databases.	Define and enforce data governance policies, including data security, privacy, and compliance standards.	Create and maintain comprehensive data documentation, including data dictionaries, data lineage, and metadata.	Optimize data systems for performance, scalability, and reliability.	Collaborate with cross-functional teams to identify and address their data needs, providing tailored solutions.	Stay updated with emerging data technologies and evaluate their relevance and potential adoption for the organization.	Provide guidance and mentorship to data professionals within the team. 		Qualifications:		Bachelor’s degree in Computer Science or a related field.	Relevant certifications such as Certified Data Management Professional (CDMP) or Certified Information Systems Security Professional (CISSP) are a plus.	Proficient in data modeling techniques, including conceptual, logical, and physical data modeling.	Strong understanding of database architecture, storage engines, replication, and clustering.	Knowledge of data governance frameworks, policies, and procedures.	Experience in establishing and enforcing data quality standards, data security measures, and data lifecycle management procedures.	Proficient in ETL processes and tools, such as Informatica, Talend, or equivalent platforms.	Familiarity with big data platforms and technologies such as Hadoop, Spark, Hive, and HBase.	Experience with cloud platforms like AWS, Azure, or Google Cloud Platform.	Skilled in optimizing database performance, query execution, and data access patterns, including indexing strategies.	Strong documentation skills, capable of creating and maintaining data architecture diagrams, data dictionaries, data flow diagrams, and technical specifications.	Amenable to onsite work at Laguna International Industrial Park, Mamplasan, Biñan, Laguna.		Be part of Gardenia Bakeries Philippines Inc. and lead the way in designing and managing the data infrastructure that drives our business success!	Hire NowSign UpLogin",Information Technology,"Biñan City, CALABARZON (Region IV-A)",Full-time,Kalibrr
23,Data Architect,"Gardenia Bakeries Phils., Inc.",https://www.kalibrr.com/c/gardenia/jobs/253221/data-architect-6,"Responsibilities:		Develop and implement a comprehensive data strategy that aligns with the organization’s objectives and business goals.	Design, develop, and maintain data models to ensure data accuracy, consistency, and efficiency.	Oversee the selection, deployment, and management of database and data storage solutions.	Establish data integration processes to facilitate seamless data flow between systems, applications, and databases.	Define and enforce data governance policies, including data security, privacy, and compliance standards.	Create and maintain comprehensive data documentation, including data dictionaries, data lineage, and metadata.	Optimize data systems for performance, scalability, and reliability.	Collaborate with cross-functional teams to identify and address their data needs, providing tailored solutions.	Stay updated with emerging data technologies and evaluate their relevance and potential adoption for the organization.	Provide guidance and mentorship to data professionals within the team		Responsibilities:		Develop and implement a comprehensive data strategy that aligns with the organization’s objectives and business goals.	Design, develop, and maintain data models to ensure data accuracy, consistency, and efficiency.	Oversee the selection, deployment, and management of database and data storage solutions.	Establish data integration processes to facilitate seamless data flow between systems, applications, and databases.	Define and enforce data governance policies, including data security, privacy, and compliance standards.	Create and maintain comprehensive data documentation, including data dictionaries, data lineage, and metadata.	Optimize data systems for performance, scalability, and reliability.	Collaborate with cross-functional teams to identify and address their data needs, providing tailored solutions.	Stay updated with emerging data technologies and evaluate their relevance and potential adoption for the organization.	Provide guidance and mentorship to data professionals within the team.		Qualifications:		Bachelor’s degree in Computer Science or a related field.	Relevant certifications such as Certified Data Management Professional (CDMP) or Certified Information Systems Security Professional (CISSP) are a plus.	Proficient in data modeling techniques, including conceptual, logical, and physical data modeling.	Strong understanding of database architecture, storage engines, replication, and clustering.	Knowledge of data governance frameworks, policies, and procedures.	Experience in establishing and enforcing data quality standards, data security measures, and data lifecycle management procedures.	Proficient in ETL processes and tools, such as Informatica, Talend, or equivalent platforms.	Familiarity with big data platforms and technologies such as Hadoop, Spark, Hive, and HBase.	Experience with cloud platforms like AWS, Azure, or Google Cloud Platform.	Skilled in optimizing database performance, query execution, and data access patterns, including indexing strategies.	Strong documentation skills, capable of creating and maintaining data architecture diagrams, data dictionaries, data flow diagrams, and technical specifications.	Amenable to onsite work at Laguna International Industrial Park, Mamplasan, Biñan, Laguna.		Be part of Gardenia Bakeries Philippines Inc. and lead the way in designing and managing the data infrastructure that drives our business success!	Hire NowSign UpLogin",Information Technology,"Biñan City, CALABARZON (Region IV-A)",Full-time,Kalibrr
24,Data Architect,Accenture in the Philippines,https://www.kalibrr.com/c/a-philippines/jobs/253688/data-architect-3,"Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you! Be part of Accenture Philippines' 40-year legacy. Impotant Note:Before applying for this position at Accenture, please ensure that you meet the required qualifications and possess the skills outlined in the job description below before applying. Only candidates who has the necessary criteria will be considered for the role. It is important that applicants have the relevant experience, knowledge, and expertise as described in the posting to ensure a successful application. What you’ll do:As a Data Engineer, you will be responsible for designing, developing, and maintaining data solutions for data generation, collection, and processing. Your typical day will involve creating data pipelines, ensuring data quality, and implementing ETL processes to migrate and deploy data across systems.Roles &amp; Responsibilities:	Expected to be an SME.	Collaborate and manage the team to perform.	Responsible for team decisions.	Engage with multiple teams and contribute on key decisions.	Provide solutions to problems for their immediate team and across multiple teams.	Develop innovative data solutions.	Implement data architecture principles effectively.	Optimize data pipelines for efficiency.Ready to become part of the dynamic Accenture team? We’re seeking candidates with the right skills and experience for this role. Think you match the profile? Reach out to us, we'd love to hear from you! Be part of Accenture Philippines' 40-year legacy. Impotant Note:Before applying for this position at Accenture, please ensure that you meet the required qualifications and possess the skills outlined in the job description below before applying. Only candidates who has the necessary criteria will be considered for the role. It is important that applicants have the relevant experience, knowledge, and expertise as described in the posting to ensure a successful application. What you’ll do:As a Data Engineer, you will be responsible for designing, developing, and maintaining data solutions for data generation, collection, and processing. Your typical day will involve creating data pipelines, ensuring data quality, and implementing ETL processes to migrate and deploy data across systems.Roles &amp; Responsibilities:	Expected to be an SME.	Collaborate and manage the team to perform.	Responsible for team decisions.	Engage with multiple teams and contribute on key decisions.	Provide solutions to problems for their immediate team and across multiple teams.	Develop innovative data solutions.	Implement data architecture principles effectively.	Optimize data pipelines for efficiency.Here’s what you need:Professional &amp; Technical Skills:	Required Skill: Expert proficiency in Data Architecture Principles	Experience with Microsoft Azure Data Services	Strong understanding of data engineering concepts.	Proficiency in ETL processes.	Knowledge of data modeling techniques.Additional Information:	The candidate should have minimum 5 years of experience in Data Architecture Principles.	This position is based at our Manila office.	Minimum 5 year(s) of experience is required Hire NowSign UpLogin",Information Technology,"Mandaluyong City, National Capital Region (NCR)",Full-time,Kalibrr
25,Senior Data Engineer,"LENA - Lately, Everything Needs Analytics",https://www.kalibrr.com/c/twelve-baskets-analytics/jobs/251222/senior-data-engineer-3,"We are looking for bright and talented Senior Data Engineers to join our dynamic team here at LENA.As a Data Engineer, you are responsible for the development, implementation, and maintenance of systems and processes that convert raw data to actionable, clean, and consistent information for downstream consumers. This job position focuses on keeping data architectures as abstract and straightforward as possible.Tasks may include:	Managing data engineering lifecycles through off-the-shelf products, managed services, and tools;	Implementing data warehouses, data lakes, and data meshes;	Developing data models relevant to the core domain of the client;	Designing and developing orchestration of data engineering lifecycles;	Reviewing and providing insight to architectural decision records for different systems that generate data;	Transforming existing data structures for efficient analytical workflows;	Serving data for downstream consumers, such as analytics and ML;	Providing mentorship and training for data engineering; and	Collaborating closely with partners and customers (upstream and downstream) to understand their data, design data structures, and provide functionality that is beneficial to the project.As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. Furthermore, you will provide growth to your team members through mentorship and collaboration. You will have the opportunity to engage with clients and improve in communication, leadership and management skills.We are looking for bright and talented Senior Data Engineers to join our dynamic team here at LENA.As a Data Engineer, you are responsible for the development, implementation, and maintenance of systems and processes that convert raw data to actionable, clean, and consistent information for downstream consumers. This job position focuses on keeping data architectures as abstract and straightforward as possible.Tasks may include:	Managing data engineering lifecycles through off-the-shelf products, managed services, and tools;	Implementing data warehouses, data lakes, and data meshes;	Developing data models relevant to the core domain of the client;	Designing and developing orchestration of data engineering lifecycles;	Reviewing and providing insight to architectural decision records for different systems that generate data;	Transforming existing data structures for efficient analytical workflows;	Serving data for downstream consumers, such as analytics and ML;	Providing mentorship and training for data engineering; and	Collaborating closely with partners and customers (upstream and downstream) to understand their data, design data structures, and provide functionality that is beneficial to the project.As part of a new team, you will help lay the culture and technical foundation for the team. You will enjoy growth opportunities working alongside a team that encourages intellectual excitement and a startup working environment. Furthermore, you will provide growth to your team members through mentorship and collaboration. You will have the opportunity to engage with clients and improve in communication, leadership and management skills.	Minimum of 5 years' experience as a software engineer, database administrator, data engineer, data science, or related fields	Deep understanding of the different stages of the data engineering lifecycle (Generation, Storage, Ingestion, Transformation, Serving)	General understanding on the undercurrents across the data engineering lifecycle (Security, Data Management, DataOps, Data Architecture, Orchestration, Software Engineering)	Advanced level of SQL, and good understanding of NoSQL	Intermediate level of Python programming, bash, Spark	Good understanding of object-oriented programming and functional programming	Intermediate level of orchestration (e.g., Airflow, Dagster, etc.)	Intermediate understanding of data warehousing and data modeling techniques, such as Kimball or Data Vault	Intermediate understanding of distributed file systems, and processing data on such systems	Experience and knowledge on the following are not required, but preferred:	JVM Language (Java, Scala)	AWS (Glue, Step Functions, S3, Redshift, etc.)	Data Structures (Hash Indexes, SSTables, LSM-Trees, B-Trees, etc.)	Data Tools and Frameworks (Kafka, Great Expectations, Apache Iceberg, Hive, etc.)	Data/Software Architecture (Distributed Systems, System Design, Event-Driven Architecture, Infrastructure-as-code, etc.)	SWE Best Practices (Agile, DevOps, Testing, Clean Code, TDD, DDD, etc.)	Modern Data Stack (ETL tools, Metadata management, Data Transformation frameworks, etc.)	Minimum of 5 years' experience as a software engineer, database administrator, data engineer, data science, or related fields	Deep understanding of the different stages of the data engineering lifecycle (Generation, Storage, Ingestion, Transformation, Serving)	General understanding on the undercurrents across the data engineering lifecycle (Security, Data Management, DataOps, Data Architecture, Orchestration, Software Engineering)	Advanced level of SQL, and good understanding of NoSQL	Intermediate level of Python programming, bash, Spark	Good understanding of object-oriented programming and functional programming	Intermediate level of orchestration (e.g., Airflow, Dagster, etc.)	Intermediate understanding of data warehousing and data modeling techniques, such as Kimball or Data Vault	Intermediate understanding of distributed file systems, and processing data on such systems	Experience and knowledge on the following are not required, but preferred:	JVM Language (Java, Scala)	AWS (Glue, Step Functions, S3, Redshift, etc.)	Data Structures (Hash Indexes, SSTables, LSM-Trees, B-Trees, etc.)	Data Tools and Frameworks (Kafka, Great Expectations, Apache Iceberg, Hive, etc.)	Data/Software Architecture (Distributed Systems, System Design, Event-Driven Architecture, Infrastructure-as-code, etc.)	SWE Best Practices (Agile, DevOps, Testing, Clean Code, TDD, DDD, etc.)	Modern Data Stack (ETL tools, Metadata management, Data Transformation frameworks, etc.)Hire NowSign UpLogin",Information Technology,"Pasig City, National Capital Region (NCR)",Full-time,Kalibrr
26,Junior Data Analyst,M2.0 Communications Inc.,https://www.kalibrr.com/c/m2-0-communications-inc/jobs/251161/junior-data-analyst-2,"As a Junior Data Analyst, you will play a crucial role in the data preprocessing phase of our project to fine-tune the Whisper model for Taglish and other languages. Your responsibilities will include collecting, organizing, cleaning, and preparing high-quality multilingual data for model training. You will work closely with the machine learning team to ensure that the data meets the necessary standards for effective model training.Key Responsibilities:Data Collection and Organization:	Gather raw audio files in various formats (e.g., MP3, WAV, FLAC) from diverse sources such as interviews, podcasts, and YouTube videos.	Organize files into a structured directory hierarchy, ensuring a clear and consistent file naming convention.Audio Preprocessing:	Convert audio files to the required format (16kHz mono, 16-bit signed integer WAV) using tools like FFmpeg.	Transcribe audio files, either manually or through a transcription service, and store text files with corresponding filenames.Data Cleaning and Normalization:	Clean and normalize text data to address spelling variations, punctuation issues, and formatting inconsistencies.	Standardize abbreviations and contractions, and remove special characters or unnecessary symbols.Data Segmentation and Labeling:	Split lengthy audio recordings into smaller, manageable segments.	Create and maintain a metadata file that maps audio files to their corresponding transcriptions and alignment details.Quality Assurance and Validation:	Conduct thorough quality checks to validate the dataset for accuracy, consistency, and completeness.	Identify and resolve issues in the audio and text data, such as misalignments or incorrect transcriptions.Data Analysis and Reporting:	Use data analysis techniques to evaluate dataset health and completeness.	Provide regular reports on data collection progress, challenges, and recommendations for improvements.Collaboration and Communication:	Work closely with the machine learning team to address any data-related issues.	Provide regular updates on data collection and preprocessing progress.As a Junior Data Analyst, you will play a crucial role in the data preprocessing phase of our project to fine-tune the Whisper model for Taglish and other languages. Your responsibilities will include collecting, organizing, cleaning, and preparing high-quality multilingual data for model training. You will work closely with the machine learning team to ensure that the data meets the necessary standards for effective model training.Key Responsibilities:Data Collection and Organization:	Gather raw audio files in various formats (e.g., MP3, WAV, FLAC) from diverse sources such as interviews, podcasts, and YouTube videos.	Organize files into a structured directory hierarchy, ensuring a clear and consistent file naming convention.Audio Preprocessing:	Convert audio files to the required format (16kHz mono, 16-bit signed integer WAV) using tools like FFmpeg.	Transcribe audio files, either manually or through a transcription service, and store text files with corresponding filenames.Data Cleaning and Normalization:	Clean and normalize text data to address spelling variations, punctuation issues, and formatting inconsistencies.	Standardize abbreviations and contractions, and remove special characters or unnecessary symbols.Data Segmentation and Labeling:	Split lengthy audio recordings into smaller, manageable segments.	Create and maintain a metadata file that maps audio files to their corresponding transcriptions and alignment details.Quality Assurance and Validation:	Conduct thorough quality checks to validate the dataset for accuracy, consistency, and completeness.	Identify and resolve issues in the audio and text data, such as misalignments or incorrect transcriptions.Data Analysis and Reporting:	Use data analysis techniques to evaluate dataset health and completeness.	Provide regular reports on data collection progress, challenges, and recommendations for improvements.Collaboration and Communication:	Work closely with the machine learning team to address any data-related issues.	Provide regular updates on data collection and preprocessing progress.Qualifications:	Strong Proficiency in Python: Experience with data manipulation, cleaning, and preprocessing using Python libraries such as Pandas, NumPy, and TensorFlow.	Data Cleaning and Preprocessing: Proven ability to clean, organize, and preprocess data for machine learning applications.	NLP Knowledge: Familiarity with natural language processing techniques, including text normalization and handling multilingual or code-mixed data.	SQL Skills: Experience with SQL for data querying and management.	Problem-Solving Skills: Ability to identify and solve complex data-related problems with creativity and efficiency.	Work Under Pressure: Capable of handling multiple tasks simultaneously and meeting deadlines in a fast-paced environment.	Adaptability: Willingness to learn new tools and techniques as needed for the project.	Attention to Detail: Meticulous attention to detail to ensure data accuracy and integrity.	Communication Skills: Excellent communication skills to collaborate effectively with cross-functional teams.Desired Skills:	Familiarity with audio processing tools like FFmpeg.	Familiarity with transcription tools and alignment software (e.g., Aeneas, Gentle).	Knowledge of Taglish language nuances and variations.	Experience with version control systems like Git.	Familiarity with code-mixing or multilingual NLP techniquesQualifications:	Strong Proficiency in Python: Experience with data manipulation, cleaning, and preprocessing using Python libraries such as Pandas, NumPy, and TensorFlow.	Data Cleaning and Preprocessing: Proven ability to clean, organize, and preprocess data for machine learning applications.	NLP Knowledge: Familiarity with natural language processing techniques, including text normalization and handling multilingual or code-mixed data.	SQL Skills: Experience with SQL for data querying and management.	Problem-Solving Skills: Ability to identify and solve complex data-related problems with creativity and efficiency.	Work Under Pressure: Capable of handling multiple tasks simultaneously and meeting deadlines in a fast-paced environment.	Adaptability: Willingness to learn new tools and techniques as needed for the project.	Attention to Detail: Meticulous attention to detail to ensure data accuracy and integrity.	Communication Skills: Excellent communication skills to collaborate effectively with cross-functional teams.Desired Skills:	Familiarity with audio processing tools like FFmpeg.	Familiarity with transcription tools and alignment software (e.g., Aeneas, Gentle).	Knowledge of Taglish language nuances and variations.	Experience with version control systems like Git.	Familiarity with code-mixing or multilingual NLP techniquesHire NowSign UpLogin",Information Technology,"Quezon City, National Capital Region (NCR)",Full-time,Kalibrr
27,Data Analyst | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/250689/data-analyst-makati-5,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Data Analyst supports various teams and initiatives with insights gained from data. They analyze complex datasets to identify opportunities for product development and process improvement.Key Responsibilities 	Learn and use statistical tools to collect, clean, and analyze complex datasets	Ideate and implement solutions that address gaps and improve our services and processes	Create models that assess the outcomes of different courses of action	Develop reports and communicate insights to MedGrocer and its stakeholders	Collaborate with cross-functional teams to gather relevant data from various sources to ensure the accuracy and completeness of collected dataPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Data Analyst supports various teams and initiatives with insights gained from data. They analyze complex datasets to identify opportunities for product development and process improvement.Key Responsibilities 	Learn and use statistical tools to collect, clean, and analyze complex datasets	Ideate and implement solutions that address gaps and improve our services and processes	Create models that assess the outcomes of different courses of action	Develop reports and communicate insights to MedGrocer and its stakeholders	Collaborate with cross-functional teams to gather relevant data from various sources to ensure the accuracy and completeness of collected dataPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payIt is preferred but not required to have the following qualifications:	A degree in Data Science, Computer Science, Statistics, or any related field;	Knowledge in advanced statistical techniques;	Knowledge in machine learning techniques and their application;	Experience in using programming languages (e.g. SQL, R, Python) for data analysisHire NowSign UpLogin",Management,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr
