title,company,link,job_desc,job_func,location,job_type,source,
Jr. Clinical Pharmacist,Makati Medical Center,https://ph.linkedin.com/jobs/view/jr-clinical-pharmacist-at-makati-medical-center-4158106865?position=10&pageNum=0&refId=Y7EWstHxzbxT6GmxLAZpfQ%3D%3D&trackingId=OGkSgaJMMVgwII220J7wbQ%3D%3D,"March 1, 2025 Job SummaryResponsible for ensuring and coordinating the safe and effective delivery of pharmacy care in patient care areas, promoting rational drug use, assisting in giving emergency care, providing drug information and functioning periodically in other units.QualificationsLicensed Pharmacist (PRC)Graduate of BS Pharmacy preferably Major in Clinical Pharmacy or Doctor of Pharmacy (Pharm D)no work experience requiredwith good oral and written communication skillscan handle a fast-paced environment",Health Care Provider,"Makati City, National Capital Region (NCR)",Full-time,Linkedin,
Cardiac Diagnostic Laboratory Nurse,Makati Medical Center,https://ph.linkedin.com/jobs/view/cardiac-diagnostic-laboratory-nurse-at-makati-medical-center-4174150129?position=2&pageNum=0&refId=Y7EWstHxzbxT6GmxLAZpfQ%3D%3D&trackingId=EPF9wakOvrHv2P6PpiJWeA%3D%3D,"March 1, 2025 Job SummaryThe Registered Nurse, Cardiac Diagnostic Laboratory is responsible for the delivery of safe and quality patient care to patients under the supervision of the Team Leader, Cardiac Diagnostic Laboratory matrixed with Nursing Clinical Department Manager.Her Duties And Responsibilities Include (but Not Limited To)Monitoring and recording of vital signs, rate of perceived exertion, oxygen saturation and other exercise parameters during sessionsMonitoring patient progress and coordinating with physical therapistAssisting Cardiologists in proceduresQualificationsRegistered NurseMember of the Philippine Nurses Association (PNA)At least 1 (one) year of experience as a bedside nurse",Health Care Provider,"Makati City, National Capital Region (NCR)",Full-time,Linkedin,
Visiting Doctor,Marivent Hotels &amp; Resorts,https://ph.linkedin.com/jobs/view/visiting-doctor-at-marivent-hotels-resorts-4168749964?position=29&pageNum=0&refId=Y7EWstHxzbxT6GmxLAZpfQ%3D%3D&trackingId=ClrKYa2rZvjCARs4EQp7og%3D%3D,"Victoria Skin Clinic is looking for medical-aesthetic doctors interested in holding a clinic for their aesthetic practice offering quality, effective, and safe FDA-approved branded machines, including Thermage, Ultherapy, Cynosure Picosure, Revlite, and others.Feel free to visit us, or send a message or email expressing your interest to hr@mariventhotels.com. We look forward to seeing you and supporting your aesthetic growth.",Health Care Provider,"Makati City, National Capital Region (NCR)",Part-time,Linkedin,1
OR Nurse (Makati),Dempsey Resource Management Inc.,https://ph.linkedin.com/jobs/view/or-nurse-makati-at-dempsey-resource-management-inc-4183961947?position=22&pageNum=0&refId=Y7EWstHxzbxT6GmxLAZpfQ%3D%3D&trackingId=0Fvl%2BSiKeS%2FiE7ccfTOqkw%3D%3D,"Qualifications Degree in Nursing or related field Licensed / Registered nurse is preferred At least 6 mos. experience in OR or related field Willing to work in Makati Can start immediatelyKey Roles Utilization of Assessment skills to determine Patient's needs Perform examination and other assigned tasks Assist surgeons and other practitioners to ensure good patient careWORK LOCATION: San Antonio Village, Makati CityWORK SCHEDULE: Monday to Saturday (On site)SALARY RANGE: For discussionNOTE: This is direct hire and not under agency.",Health Care Provider,"Makati City, National Capital Region (NCR)",Full-time,Linkedin,
Healthcare Non-Voice Customer Care Specialist,Sapient Global Services,https://ph.linkedin.com/jobs/view/healthcare-non-voice-customer-care-specialist-at-sapient-global-services-4184932777?position=11&pageNum=0&refId=Y7EWstHxzbxT6GmxLAZpfQ%3D%3D&trackingId=9QNHD6tfzvQGSTWy1yLJtA%3D%3D,"One-day hiring process! Earn up to 25k monthly! We are mass hiring for Call Center Agents as prior in our Metro sites! The ideal candidate loves talking to people and proactively solving issues.What can we offer?HMO Benefits Shift Schedule (Day shift/Mid shift/Night shift)Pioneer, Non-voice, and Easy Accounts AvailableIncentives and Signing Bonuses &amp; other Premium Benefits for you to enjoyJob ResponsibilitiesFollow standard operations and procedures.Recognize and escalate priority problems in accordance with Client standards.Ensure one call resolution prioritizing customer satisfaction.Perform basic troubleshooting when necessary.We Are Currently Hiring For The Following AccountsCustomer ServiceTechnical SupportTravel AccountHotel Reservation AccountHealthcare AccountFinancial TelcoNon VoiceApply today!",Health Care Provider,"Makati City, National Capital Region (NCR)",Full-time,Linkedin,
Healthcare Customer Service - Chat - Email CSR,Sapient Global Services,https://ph.linkedin.com/jobs/view/healthcare-customer-service-chat-email-csr-at-sapient-global-services-4166528583?position=3&pageNum=0&refId=Y7EWstHxzbxT6GmxLAZpfQ%3D%3D&trackingId=scyMgTCuf36ug3c17S1IKQ%3D%3D,"One-day hiring process! Earn up to 25k monthly! We are mass hiring for Call Center Agents as prior in our Metro sites! The ideal candidate loves talking to people and proactively solving issues.What can we offer?HMO Benefits Shift Schedule (Day shift/Mid shift/Night shift)Pioneer, Non-voice, and Easy Accounts AvailableIncentives and Signing Bonuses &amp; other Premium Benefits for you to enjoyJob ResponsibilitiesFollow standard operations and procedures.Recognize and escalate priority problems in accordance with Client standards.Ensure one call resolution prioritizing customer satisfaction.Perform basic troubleshooting when necessary.We Are Currently Hiring For The Following AccountsCustomer ServiceTechnical SupportTravel AccountHotel Reservation AccountHealthcare AccountFinancial TelcoNon VoiceApply today!",Health Care Provider,"Makati City, National Capital Region (NCR)",Full-time,Linkedin,
Account Success Officer | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/173071/account-success-officer-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Account Success Officer drives our company's growth by partnering with clients and identifying their needs. They serve as the primary liaison to coordinate with various internal and external stakeholders to ensure that the client’s needs are met promptly.Key Responsibilities	Establish and maintain strong client relationships through regular communication	Coordinate and manage client expectations through effective project management and account management	Design and implement strategies that reflect the data collected on current healthcare trends and consumer behavior	Implement and oversee corporate clinic processes to ensure that medical services meet or exceed industry standards	Anticipate, escalate, and collaborate with internal and external stakeholders on potential client issues	Collaborate with cross-functional teams to gather and analyze data from market research, customer feedback, and internal systems, to identify opportunities for improvement	Evaluate and improve data analytics processes and methodologies to enhance data-driven decision-making within the account management team	Provide strong leadership to manage medical professionalsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Account Success Officer drives our company's growth by partnering with clients and identifying their needs. They serve as the primary liaison to coordinate with various internal and external stakeholders to ensure that the client’s needs are met promptly.Key Responsibilities	Establish and maintain strong client relationships through regular communication	Coordinate and manage client expectations through effective project management and account management	Design and implement strategies that reflect the data collected on current healthcare trends and consumer behavior	Implement and oversee corporate clinic processes to ensure that medical services meet or exceed industry standards	Anticipate, escalate, and collaborate with internal and external stakeholders on potential client issues	Collaborate with cross-functional teams to gather and analyze data from market research, customer feedback, and internal systems, to identify opportunities for improvement	Evaluate and improve data analytics processes and methodologies to enhance data-driven decision-making within the account management team	Provide strong leadership to manage medical professionalsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	1-3 years experience working in account management, preferably in the healthcare setting;	Preferably has a bachelor’s degree in Business Administration, Marketing, or any related field;	Must work onsite in Makati	1-3 years experience working in account management, preferably in the healthcare setting;	Preferably has a bachelor’s degree in Business Administration, Marketing, or any related field;	Must work onsite in MakatiHire NowSign UpLogin",Management,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Customer Experience Officer | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/249253/customer-experience-officer-makati-6,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Experience Officer drives our company's growth by leading the efforts to create exceptional patient interactions, making sure their experience is filled with care and efficiency.Key Responsibilities	Manage day-to-day operations relating to order processing and customer service	Handle patient concerns and coordinate with various teams to address patient requests	Generate and analyze daily, monthly, and ad hoc reports and present to internal and external parties	Establish relationships with clients	Manage team escalations and work plans, audit work, and provide learning and growth opportunities	Collaborate with other MedGrocer teams (e.g. IT) to drive product, system, and process development projects	Evaluate and design initiatives to improve patient health outcomes and customer experience	Implement, monitor, and scale proposed initiativesPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Customer Experience Officer drives our company's growth by leading the efforts to create exceptional patient interactions, making sure their experience is filled with care and efficiency.Key Responsibilities	Manage day-to-day operations relating to order processing and customer service	Handle patient concerns and coordinate with various teams to address patient requests	Generate and analyze daily, monthly, and ad hoc reports and present to internal and external parties	Establish relationships with clients	Manage team escalations and work plans, audit work, and provide learning and growth opportunities	Collaborate with other MedGrocer teams (e.g. IT) to drive product, system, and process development projects	Evaluate and design initiatives to improve patient health outcomes and customer experience	Implement, monitor, and scale proposed initiativesPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	2-4 years leading teams, handling difficult customer escalations, creating and implementing processes, and foreseeing and solving possible concerns;		Preferably with experience working in the healthcare industry, but not required;			Must work onsite in Makati	Hire NowSign UpLogin",Customer Service,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Clinical Support Agent | Mid Shift | Weekends Off | Day 1 HMO | PHP50K,Emapta,https://ph.jobstreet.com/job/83267760?type=standard&ref=search-standalone&origin=cardTitle#sol=db7b77e73dec64356c7f7b7b6d0ed26ea2a8eedc,"Support Healthcare with Excellence and Compassion!Join a team dedicated to delivering&nbsp;top-tier healthcare support.&nbsp;Be the bridge between patients, healthcare professionals, and clinical operations while ensuring smooth and efficient medical coordination. This role values work-life balance, offering structured hours, weekends off, and an environment that prioritizes your well-being. Have the flexibility to focus on personal priorities after work while making a meaningful impact in the industry.Job DescriptionAs a&nbsp;Clinical Support Agent, you will provide responsive and accurate support for medical and administrative processes. From handling patient inquiries to coordinating healthcare services, your role ensures seamless operations in occupational health, emergency support, and clinical case management.Job Overview:Employment type: Full-timeShift: Mid Shift (Mon - Fri, 3:00 PM - 12:00 AM); Weekends offWork setup: Onsite, MakatiSalary: PHP 30,000 to PHP 50,000Perks: Day 1 HMO, Above-market salary, Work-life balanceExciting Perks Await!Day 1 HMO coverage with a free dependentCompetitive PackagePrime office location in Makati (easy access to MRT stations, restaurants, and banks)Mid-shift schedule with fixed weekends offUnlimited upskilling through Emapta Academy courses (Want to know more? Visit&nbsp;https://bit.ly/EmaptaTrainingCalendar)24/7 free access to our office gyms (Ortigas and Makati) with a free physical fitness trainer!Exclusive Emapta Lifestyle perks (hotel and restaurant discounts, and more!)Unlimited opportunities for employee referral incentives across the organizationStandard government and Emapta benefitsTotal of 20 annual leaves to be used on your own discretion (including 5 credits convertible to cash)Fun engagement activities for employeesMentorship and exposure to global leaders and teamsCareer growth opportunitiesDiverse and supportive work environmentThe Qualifications We SeekMedical qualification or at least 3 years of experience in a administrative healthcare or BPO healthcare setting.Experience supporting mental health programs is highly desirable.Strong English communication skills (spoken and written).Excellent problem-solving skills with attention to detail.Experience in client-facing roles with professional inquiry management.Proficiency in Microsoft Outlook, Word, and Excel (Intermediate to advanced level preferred).Ability to work in high-pressure environments while maintaining professionalism and accuracy.Occupational health experience is an advantage.Your Daily TasksMedical &amp; Clinical Coordination:Handle inbound requests related to employee assistance programs and medical support services.Coordinate medical emergency and non-emergency cases with specialized healthcare professionals.Assist in deep-sea diving medical incident management by connecting professionals with top-tier medical support.Perform administrative functions for occupational health referrals and appointment scheduling.Administrative &amp; Customer Support:Respond professionally to email and phone inquiries.Arrange and complete medical booking processes with accuracy.Support stakeholders and remote colleagues with clinical operations.Ensure timely submission of medical assessments and documentation.Maintain quality control over document formatting and compliance processes.Assist with case management documentation and monitor compliance with operational standards.Securely handle patient records and medical documents following data protection policies.About the Client: Enhancing Healthcare Through InnovationOur client is&nbsp;a trusted leader in the healthcare sector,&nbsp;delivering innovative medical support solutions worldwide. They specialize in providing top-tier healthcare coordination services, ensuring medical professionals and patients receive seamless support. With a commitment to quality, accuracy, and patient care, they continue to revolutionize healthcare accessibility and responsiveness.Who Are We?Join a team that values camaraderie, excellence, and growth. Recognized as one of the&nbsp;Top 20 Dream Companies of Filipinos in 2024, Emapta stands proudly alongside industry giants, offering stability and exciting career opportunities. Your career flourishes here with competitive compensation, international clients, and a work culture focused on collaboration and innovation. Work with global clients across industries, supported by a stable foundation and like-minded professionals passionate about making an impact.&nbsp;Apply now and be part of the #EmaptaEra!",Customer Service,"Makati City, National Capital Region (NCR)",Full-time,Jobstreet,
Data Analyst | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/250689/data-analyst-makati-5,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Data Analyst supports various teams and initiatives with insights gained from data. They analyze complex datasets to identify opportunities for product development and process improvement.Key Responsibilities 	Learn and use statistical tools to collect, clean, and analyze complex datasets	Ideate and implement solutions that address gaps and improve our services and processes	Create models that assess the outcomes of different courses of action	Develop reports and communicate insights to MedGrocer and its stakeholders	Collaborate with cross-functional teams to gather relevant data from various sources to ensure the accuracy and completeness of collected dataPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Data Analyst supports various teams and initiatives with insights gained from data. They analyze complex datasets to identify opportunities for product development and process improvement.Key Responsibilities 	Learn and use statistical tools to collect, clean, and analyze complex datasets	Ideate and implement solutions that address gaps and improve our services and processes	Create models that assess the outcomes of different courses of action	Develop reports and communicate insights to MedGrocer and its stakeholders	Collaborate with cross-functional teams to gather relevant data from various sources to ensure the accuracy and completeness of collected dataPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payIt is preferred but not required to have the following qualifications:	A degree in Data Science, Computer Science, Statistics, or any related field;	Knowledge in advanced statistical techniques;	Knowledge in machine learning techniques and their application;	Experience in using programming languages (e.g. SQL, R, Python) for data analysisHire NowSign UpLogin",Management,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,1
"Payroll Analyst, Manila",Eucalyptus,https://ph.linkedin.com/jobs/view/payroll-analyst-manila-at-eucalyptus-4172254069?position=19&pageNum=0&refId=Y7EWstHxzbxT6GmxLAZpfQ%3D%3D&trackingId=U9XlhPSnwFY%2Bv%2BpgXT%2FgJw%3D%3D,"Healthcare is usually slow and boring. We believe in its potential to be exciting and entertaining. But changing the healthcare experience is hard – and we’re gonna need all the help we can get…!About EucalyptusEucalyptus (or 'Euc' for short) is an Australian founded digital healthcare company that is on a mission to solve the world’s biggest healthcare challenges - think fertility, and behavioural change around chronic conditions such as weight loss, diabetes, and mental health.Founded in Australia in 2019, we have now helped over 500K patients globally by combining technology, design and operational excellence to help patients access the best clinical support when they need it - wherever they are.Our 5 clinics (Juniper, Pilot, Kin, Software, &amp; Compound) focus heavily on personalising the experience for different demographics and are powered by a growing team across 5 countries (Australia, UK, Germany, Japan, and the Philippines).We’ve raised over AUD$160M in funding from Aussie and Silicon Valley investors who were early backers of Uber, Canva and AirBnb. With plans to launch into several more markets, offline channels, and tackle new conditions.We’re looking to continue building our team of executional weapons who are passionate about healthcare, aren’t afraid to work hard, and invest in others through direct and honest feedback. This approach enables us to make the most impactful changes to improve the health of millions of patients globally.About The Role (What You’ll Be Doing)Prepare monthly and yearly leave provision reconciliation, reports, and forecast.Calculate monthly intercompany payroll cost allocations, generate and reconcile intercompany headcount cost recharge invoices.Design, build, and maintain automated and dynamic compensation and benefits reports at both group and market levels via Charthop to ensure accurate employee data on headcount, salaries and wages, option grants, benefits, etc.Build and maintain live headcount planning reports to align on financial goals and cost-saving initiatives.Contribute strategic projects such as WGEA reporting, gender pay gap analysis, ESG reporting, and other initiatives requiring data analysis and insights.Analyse headcount costs between actual and budget, identifying trends, and conducting scenario analysis to forecast potential business impacts.Complete month-end payroll accruals and balance sheet reconciliations.Review payroll-related accounts in periodic P&amp;L and Balance Sheet reports, providing commentary and insights.Collaborate effectively with Analytics Team, People Team, and other stakeholders to understand their needs regarding headcount and compensation data, delivering data-driven solutions.Gather, consolidate, and cleanse payroll and employee data from various sources, ensuring accuracy, consistency, and integrity. Implement data quality checks and validation processes.Support the payroll processing team and coordinate with external payroll vendors when needed to ensure accurate payroll processing in compliance with awards, agreements, company policies, and relevant legislation, meeting all submission deadlines.Assist the finance team with month-end tasks and account reconciliations.Support year-end payroll audits.About You (Who You Are)Bachelor’s degree in Accounting, Finance, Business Analysis, or a related field.Exceptional proficiency in Excel, Google Sheets, or other data visualization tools for data analysis and interpretation.Strong understanding of financial statements, including P&amp;L, cash flow, and balance sheets.Proactive and self-motivated with strong problem-solving skills.Excellent time management, prioritization, and multitasking abilities.Effective communicator with a commitment to delivering excellent customer service.Proven ability to meet deadlines in a team-oriented environment.Experience5+ years of experience in a Finance and Business Analyst, Compensation Analyst, or a similar role.Demonstrated experience in analytics related to headcount and remuneration.Strong accounting skills related to the GL/Financial statements and reconciliations.Preferred SkillsExperience with NetSuite or other ERP systems.Experience in payroll accounting or payroll analysis within Australia, APAC, or EMEA regions.Experience managing headcount planning tools such as Charthop.Familiarity with multi-company payroll structures.Why you should join EucOur teams are incredibly passionate - Our talent bar is high and our work ethic is strong. You’ll get to stretch yourself everyday and work amongst people who care deeply about our patients. You’ll be given autonomy to tackle interesting problems and receive regular feedback from a supportive teamWe’ll have your back when you need us the most - You’ll be able to lean on a range of leave offerings to support you when needed from Day 1, this includes: sick, maternal/paternal, compassionate, and vacation leave. Personal health days leave and budget to encourage you to take care of your well-being. A reliable health insurance provider accredited by major hospitals, clinics, and diagnostic centers nationwide, plus coverage of up to two dependents. Standard employer share for statutory benefits (SSS, PhilHealth, and HDMF), and 13th month pay. Also, transportation allowance to support your expenses when reporting to our Makati office.We will invest in your career - You’ll get access to an annual professional development budget and additional leave credits, mentors and buddies to ensure that you have the support you need to level up. You can expect regular performance and pay reviews as your career grows.We move at incredible speed - You’ll work with team mates who build in the open by sharing their work freely, this helps us learn and iterate quickly so we can deliver high quality outcomes faster than our competitors. You’ll **spend a lot of time outside of your comfort zone learning and iterating frequently, we wouldn’t have it any other wayAt Eucalyptus, we value individuals from all backgrounds, experiences, and perspectives, and we embrace the unique qualities each person brings. When you apply, please let us know of any reasonable adjustments you may need during the interview process.",Human Resources,"Makati City, National Capital Region (NCR)",Full-time,Linkedin,
Management Trainee | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/238893/management-trainee-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Management Trainee oversees the daily operations of MedGrocer. They coordinate with different teams in ensuring the best patient experience.Key Responsibilities 	Establish thorough understanding of operational processes and systems relating to customer service or supply chain	Identify and implement process and system improvements	Manage day-to-day operations relating to customer service or supply chain	Manage, train, and provide learning and growth opportunities to the team	Coordinate with customers and partners	Address, investigate, and resolve major operational concerns	Manage databases and monitors key performance indicatorsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Management Trainee oversees the daily operations of MedGrocer. They coordinate with different teams in ensuring the best patient experience.Key Responsibilities 	Establish thorough understanding of operational processes and systems relating to customer service or supply chain	Identify and implement process and system improvements	Manage day-to-day operations relating to customer service or supply chain	Manage, train, and provide learning and growth opportunities to the team	Coordinate with customers and partners	Address, investigate, and resolve major operational concerns	Manage databases and monitors key performance indicatorsPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay	Prior internship experience at a top company;	Bachelor's degree in any four year related course;	Preferably with customer service, supply chain management, and leadership experience;	Knowledge in Google Workspace applications;	Open to fresh graduates and experienced professionals;	Must work onsite in MakatiHire NowSign UpLogin",Management,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Computer Technician | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/236741/computer-technician-makati,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Computer Technician provides technical support on hardware and software through maintenance and repair. Key Responsibilities	Configure company devices and guide users in operating all company-related software and equipment	Monitor, order, and assign computer supplies	Facilitate repairs and upgrades on various devices such as laptops, mobile phones, printers, and CCTVs	Maintain repair logs and maintenance schedules	Set up stable and secure network connections, firewalls, and access points	Troubleshoot network issues and resolve them in a timely mannerPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payWhy MedGrocer?	Progress: To work with autonomy on engaging and stimulating projects that involve providing technical support for smoother delivery of healthcare services. You will be able to have ownership over your work and have a chance to be exposed to various tools and skills that could enhance your capabilities as a Computer Technician	Purpose: To design and implement an impact in the digitally enabled platform in order to provide holistic and proactive medical interventions through digital platforms that enable medicine-as-a-service to enhance the lives of millions of Filipinos	People: To both work and have fun with a group of dynamic and passionate individuals from diverse backgrounds, from whom you will learn from and create bonds with MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth. The Computer Technician provides technical support on hardware and software through maintenance and repair. Key Responsibilities	Configure company devices and guide users in operating all company-related software and equipment	Monitor, order, and assign computer supplies	Facilitate repairs and upgrades on various devices such as laptops, mobile phones, printers, and CCTVs	Maintain repair logs and maintenance schedules	Set up stable and secure network connections, firewalls, and access points	Troubleshoot network issues and resolve them in a timely mannerPerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payWhy MedGrocer?	Progress: To work with autonomy on engaging and stimulating projects that involve providing technical support for smoother delivery of healthcare services. You will be able to have ownership over your work and have a chance to be exposed to various tools and skills that could enhance your capabilities as a Computer Technician	Purpose: To design and implement an impact in the digitally enabled platform in order to provide holistic and proactive medical interventions through digital platforms that enable medicine-as-a-service to enhance the lives of millions of Filipinos	People: To both work and have fun with a group of dynamic and passionate individuals from diverse backgrounds, from whom you will learn from and create bonds with	Knowledgeable in computer hardware and accessories;	Confident in handling computers, mobile phones, printers, CCTVs, and routers;	Knowledge of Google Workspace, Airtable, and automation platforms is a plus;	Must work onsite in MakatiHire NowSign UpLogin",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
Software Engineer | Makati,MedGrocer,https://www.kalibrr.com/c/medgrocer/jobs/236303/software-engineer-makati-8,"MedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Software Engineer leverages programs to drive MedGrocer towards more impactful and effective healthcare services. They collaborate with an agile and innovative team of designers, developers, quality assurance engineers, and project managers.Key Responsibilities	Translate designs and wireframes into code aligned with user experience requirements	Implement best practices to ensure performance, code readability, and security	Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement	Develop reusable code and libraries for future usePerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month payMedGrocer's digitally-enabled wellness and population health programs, telehealth and medical services, and onsite medical staff work with hundreds of pharma companies and employers to improve the physical and mental health of over one million Filipinos every year.Here at MedGrocer, you will contribute to innovative healthcare solutions that enhance accessibility and efficiency. Collaborate with a diverse team on impactful projects that improve lives while fostering your personal and professional growth.The Software Engineer leverages programs to drive MedGrocer towards more impactful and effective healthcare services. They collaborate with an agile and innovative team of designers, developers, quality assurance engineers, and project managers.Key Responsibilities	Translate designs and wireframes into code aligned with user experience requirements	Implement best practices to ensure performance, code readability, and security	Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement	Develop reusable code and libraries for future usePerks and Benefits	HMO for employees	Paid leaves	Medicine coupons	Opportunities for promotion and performance bonuses	13th month pay		Bachelor's degree in Computer Science, Information Systems, Information Technology, Information Design, or any related field;			Proficient in Javascript, React, and Git;			Open to fresh graduates and experienced professionals;			Must work onsite in Makati	Hire NowSign UpLogin",Information Technology,"Makati City, National Capital Region (NCR)",Full-time,Kalibrr,
